STATE/UT,YEAR,Crime Head,Number Of Cases In Which Property - Stolen,Number Of Cases In Which Property - Recovered,Value Of Property (in rupees) - Stolen,Value Of Property (in rupees) - Recovered
Chhattisgarh,2008,OTHER KINDS OF PROP. OFF.,150,81,39082066,2609081
Chhattisgarh,2008,DACOITY,124,43,17215702,8922130
Chhattisgarh,2009,ROBBERY,554,354,26529632,14429223
Chhattisgarh,2009,THEFTS,5792,1944,209313629,90848076
Chhattisgarh,2009,C.B. OF TRUST,166,63,22868913,9361355
Chhattisgarh,2009,OTHER KINDS OF PROP. OFF.,155,114,34430697,3455856
Chhattisgarh,2009,DACOITY,134,39,13892747,2515870
Chhattisgarh,2009,TOTAL (MANUAL),10776,3792,414738010,144046856
Chhattisgarh,2009,BURGLARY,3975,1278,107702392,23436476
Chhattisgarh,2010,ROBBERY,552,324,30437443,9596117
